Price,SMA_20,SMA_50,SMA_100,SMA_200,Momentum_20,Momentum_50,Volume_Uptrend,Golden_Cross,SMA_50_above_200,SMA_20_above_50,SMA_50_above_100,SMA_20_above_200,Perfect_Setup,Abs_30d,Abs_90d,Abs_180d,Rel_30d,Rel_90d,Rel_180d,Ticker
8232.0,8093.6,7703.1,7264.4,6928.69,7.73,11.71,False,False,True,True,True,True,False,12.27%,27.71%,19.34%,13.12%,27.67%,11.76%,AMBER.NS
573.15,573.31,584.23,575.05,548.95,1.04,-6.54,True,False,True,False,True,True,False,-3.17%,2.23%,16.64%,-2.31%,2.19%,9.05%,AMBUJACEM.NS
2881.7,2952.68,2820.58,2449.96,2152.09,-1.54,8.93,True,False,True,True,True,True,False,2.50%,51.72%,45.75%,3.36%,51.68%,38.17%,ANANDRATHI.NS
697.6,609.09,571.75,560.12,583.38,28.24,22.43,True,False,False,True,True,True,False,26.21%,35.17%,-15.84%,27.06%,35.13%,-23.42%,ANANTRAJ.NS
2170.3,2235.31,2419.91,2653.94,2518.84,-4.48,-22.64,False,False,False,False,False,False,False,-14.48%,-27.46%,-6.79%,-13.63%,-27.51%,-14.37%,ANGELONE.NS
8224.0,8449.55,8506.44,8345.45,7772.92,4.6,-9.96,False,False,True,False,True,True,False,-0.02%,5.53%,-20.05%,0.84%,5.49%,-27.63%,APARINDS.NS
7460.0,7752.7,7621.95,7364.84,7060.84,-2.89,2.96,True,False,True,True,True,True,False,-5.37%,5.60%,9.36%,-4.51%,5.56%,1.78%,APOLLOHOSP.NS
468.3,481.97,465.03,463.02,453.18,-4.0,3.94,False,False,True,True,True,True,False,0.21%,-4.19%,6.81%,1.07%,-4.23%,-0.78%,APOLLOTYRE.NS
325.45,330.41,337.33,332.52,317.17,2.09,-7.21,False,False,True,False,True,True,False,-8.36%,-5.43%,16.38%,-7.51%,-5.47%,8.80%,APTUS.NS
866.45,875.53,856.96,811.56,740.24,3.61,3.25,True,False,True,True,True,True,False,1.00%,20.33%,35.08%,1.86%,20.28%,27.50%,ASAHIINDIA.NS
141.01,137.59,130.27,125.77,116.6,8.28,13.72,False,False,True,True,True,True,False,7.63%,18.18%,34.26%,8.49%,18.14%,26.68%,ASHOKLEY.NS
2339.7,2473.28,2476.5,2396.69,2340.18,-8.39,-1.08,False,False,True,False,True,True,False,-8.84%,2.52%,5.42%,-7.99%,2.48%,-2.16%,ASIANPAINT.NS
631.7,632.59,613.11,597.01,535.21,1.86,5.72,False,False,True,True,True,True,False,4.20%,16.59%,27.68%,5.06%,16.55%,20.10%,ASTERDM.NS
9220.0,9003.78,8811.79,8887.33,8211.29,1.37,2.39,False,False,True,True,False,True,False,9.87%,17.34%,31.54%,10.72%,17.30%,23.96%,ASTRAZEN.NS
1377.4,1432.58,1408.99,1448.24,1435.67,-3.39,-6.45,False,False,False,True,False,False,False,-3.10%,-9.52%,-7.61%,-2.24%,-9.56%,-15.19%,ASTRAL.NS
6160.0,6311.9,6425.33,6801.48,6500.15,-3.83,-9.02,True,False,False,False,False,False,False,-2.92%,-13.31%,-8.26%,-2.06%,-13.35%,-15.84%,ATUL.NS
1086.9,1083.5,1078.76,1114.37,1144.64,6.33,-4.17,True,False,False,True,False,False,False,3.87%,-8.41%,-6.06%,4.73%,-8.45%,-13.65%,AUROPHARMA.NS
3099.0,3107.92,3001.55,2743.77,2218.93,-2.16,7.42,False,False,True,True,True,True,False,8.33%,39.28%,77.76%,9.19%,39.24%,70.17%,AIIL.NS
4452.0,4665.98,4494.74,4323.42,4062.89,-4.87,10.64,True,False,True,True,True,True,False,-6.03%,8.74%,26.93%,-5.18%,8.70%,19.35%,DMART.NS
