Price,SMA_20,SMA_50,SMA_100,SMA_200,Momentum_20,Momentum_50,Volume_Uptrend,Golden_Cross,SMA_50_above_200,SMA_20_above_50,SMA_50_above_100,SMA_20_above_200,Perfect_Setup,Abs_30d,Abs_90d,Abs_180d,Rel_30d,Rel_90d,Rel_180d,Ticker
"<span data-order=""1234.60"">1234.60</span>","<span data-order=""1287.03"">1287.03</span>","<span data-order=""1266.40"">1266.40</span>","<span data-order=""1268.64"">1268.64</span>","<span data-order=""1238.30"">1238.30</span>","<span data-order=""-3.54"">-3.54</span>","<span data-order=""-1.82"">-1.82</span>",True,False,True,True,False,True,False,"<span data-order=""-0.77"">-0.77%</span>","<span data-order=""0.12"">0.12%</span>","<span data-order=""-8.27"">-8.27%</span>","<span data-order=""0.08"">0.08%</span>","<span data-order=""0.08"">0.08%</span>","<span data-order=""-15.85"">-15.85%</span>",DRREDDY.NS
"<span data-order=""7021.50"">7021.50</span>","<span data-order=""6883.73"">6883.73</span>","<span data-order=""6224.05"">6224.05</span>","<span data-order=""5825.09"">5825.09</span>","<span data-order=""5463.05"">5463.05</span>","<span data-order=""10.20"">10.20</span>","<span data-order=""30.76"">30.76</span>",False,False,True,True,True,True,False,"<span data-order=""17.51"">17.51%</span>","<span data-order=""33.53"">33.53%</span>","<span data-order=""41.42"">41.42%</span>","<span data-order=""18.37"">18.37%</span>","<span data-order=""33.49"">33.49%</span>","<span data-order=""33.83"">33.83%</span>",EICHERMOT.NS
"<span data-order=""329.00"">329.00</span>","<span data-order=""329.32"">329.32</span>","<span data-order=""318.74"">318.74</span>","<span data-order=""284.66"">284.66</span>","<span data-order=""259.12"">259.12</span>","<span data-order=""0.89"">0.89</span>","<span data-order=""21.09"">21.09</span>",False,False,True,True,True,True,False,"<span data-order=""0.75"">0.75%</span>","<span data-order=""46.36"">46.36%</span>","<span data-order=""44.84"">44.84%</span>","<span data-order=""1.61"">1.61%</span>","<span data-order=""46.32"">46.32%</span>","<span data-order=""37.26"">37.26%</span>",ETERNAL.NS
"<span data-order=""2789.70"">2789.70</span>","<span data-order=""2808.10"">2808.10</span>","<span data-order=""2784.66"">2784.66</span>","<span data-order=""2746.33"">2746.33</span>","<span data-order=""2626.78"">2626.78</span>","<span data-order=""0.30"">0.30</span>","<span data-order=""2.83"">2.83</span>",False,False,True,True,True,True,False,"<span data-order=""-3.18"">-3.18%</span>","<span data-order=""8.62"">8.62%</span>","<span data-order=""21.17"">21.17%</span>","<span data-order=""-2.32"">-2.32%</span>","<span data-order=""8.58"">8.58%</span>","<span data-order=""13.59"">13.59%</span>",GRASIM.NS
"<span data-order=""1389.50"">1389.50</span>","<span data-order=""1438.83"">1438.83</span>","<span data-order=""1463.99"">1463.99</span>","<span data-order=""1557.53"">1557.53</span>","<span data-order=""1603.20"">1603.20</span>","<span data-order=""-5.22"">-5.22</span>","<span data-order=""-8.59"">-8.59</span>",True,False,False,False,False,False,False,"<span data-order=""-6.96"">-6.96%</span>","<span data-order=""-15.50"">-15.50%</span>","<span data-order=""-21.36"">-21.36%</span>","<span data-order=""-6.11"">-6.11%</span>","<span data-order=""-15.54"">-15.54%</span>","<span data-order=""-28.95"">-28.95%</span>",HCLTECH.NS
"<span data-order=""965.25"">965.25</span>","<span data-order=""961.75"">961.75</span>","<span data-order=""977.75"">977.75</span>","<span data-order=""972.48"">972.48</span>","<span data-order=""917.66"">917.66</span>","<span data-order=""1.13"">1.13</span>","<span data-order=""-3.82"">-3.82</span>",True,False,True,False,True,True,False,"<span data-order=""-3.05"">-3.05%</span>","<span data-order=""2.60"">2.60%</span>","<span data-order=""19.85"">19.85%</span>","<span data-order=""-2.19"">-2.19%</span>","<span data-order=""2.56"">2.56%</span>","<span data-order=""12.27"">12.27%</span>",HDFCBANK.NS
"<span data-order=""764.40"">764.40</span>","<span data-order=""772.50"">772.50</span>","<span data-order=""769.14"">769.14</span>","<span data-order=""768.24"">768.24</span>","<span data-order=""706.98"">706.98</span>","<span data-order=""-0.99"">-0.99</span>","<span data-order=""1.68"">1.68</span>",True,False,True,True,True,True,False,"<span data-order=""-3.36"">-3.36%</span>","<span data-order=""-1.78"">-1.78%</span>","<span data-order=""25.21"">25.21%</span>","<span data-order=""-2.51"">-2.51%</span>","<span data-order=""-1.82"">-1.82%</span>","<span data-order=""17.62"">17.62%</span>",HDFCLIFE.NS
"<span data-order=""5432.50"">5432.50</span>","<span data-order=""5361.60"">5361.60</span>","<span data-order=""4992.67"">4992.67</span>","<span data-order=""4621.11"">4621.11</span>","<span data-order=""4230.11"">4230.11</span>","<span data-order=""1.56"">1.56</span>","<span data-order=""27.00"">27.00</span>",True,False,True,True,True,True,False,"<span data-order=""6.58"">6.58%</span>","<span data-order=""26.42"">26.42%</span>","<span data-order=""37.79"">37.79%</span>","<span data-order=""7.44"">7.44%</span>","<span data-order=""26.38"">26.38%</span>","<span data-order=""30.21"">30.21%</span>",HEROMOTOCO.NS
"<span data-order=""765.95"">765.95</span>","<span data-order=""748.27"">748.27</span>","<span data-order=""716.40"">716.40</span>","<span data-order=""687.51"">687.51</span>","<span data-order=""654.01"">654.01</span>","<span data-order=""3.10"">3.10</span>","<span data-order=""11.81"">11.81</span>",False,False,True,True,True,True,False,"<span data-order=""8.29"">8.29%</span>","<span data-order=""18.71"">18.71%</span>","<span data-order=""30.57"">30.57%</span>","<span data-order=""9.15"">9.15%</span>","<span data-order=""18.67"">18.67%</span>","<span data-order=""22.99"">22.99%</span>",HINDALCO.NS
"<span data-order=""2536.20"">2536.20</span>","<span data-order=""2576.62"">2576.62</span>","<span data-order=""2565.89"">2565.89</span>","<span data-order=""2461.63"">2461.63</span>","<span data-order=""2379.30"">2379.30</span>","<span data-order=""-4.82"">-4.82</span>","<span data-order=""2.28"">2.28</span>",True,False,True,True,True,True,False,"<span data-order=""-4.22"">-4.22%</span>","<span data-order=""8.50"">8.50%</span>","<span data-order=""8.23"">8.23%</span>","<span data-order=""-3.37"">-3.37%</span>","<span data-order=""8.46"">8.46%</span>","<span data-order=""0.65"">0.65%</span>",HINDUNILVR.NS
"<span data-order=""1348.00"">1348.00</span>","<span data-order=""1396.45"">1396.45</span>","<span data-order=""1421.60"">1421.60</span>","<span data-order=""1423.35"">1423.35</span>","<span data-order=""1354.18"">1354.18</span>","<span data-order=""-3.31"">-3.31</span>","<span data-order=""-7.33"">-7.33</span>",True,False,True,False,False,True,False,"<span data-order=""-5.77"">-5.77%</span>","<span data-order=""-6.08"">-6.08%</span>","<span data-order=""10.46"">10.46%</span>","<span data-order=""-4.92"">-4.92%</span>","<span data-order=""-6.12"">-6.12%</span>","<span data-order=""2.88"">2.88%</span>",ICICIBANK.NS
"<span data-order=""241.07"">241.07</span>","<span data-order=""247.83"">247.83</span>","<span data-order=""248.05"">248.05</span>","<span data-order=""250.67"">250.67</span>","<span data-order=""262.91"">262.91</span>","<span data-order=""-3.40"">-3.40</span>","<span data-order=""-5.35"">-5.35</span>",True,False,False,False,False,False,False,"<span data-order=""-3.54"">-3.54%</span>","<span data-order=""-0.65"">-0.65%</span>","<span data-order=""-14.39"">-14.39%</span>","<span data-order=""-2.68"">-2.68%</span>","<span data-order=""-0.69"">-0.69%</span>","<span data-order=""-21.98"">-21.98%</span>",WIPRO.NS
