Price,SMA_20,SMA_50,SMA_100,SMA_200,Momentum_20,Momentum_50,Volume_Uptrend,Golden_Cross,SMA_50_above_200,SMA_20_above_50,SMA_50_above_100,SMA_20_above_200,Perfect_Setup,Abs_30d,Abs_90d,Abs_180d,Rel_30d,Rel_90d,Rel_180d,Ticker
"<span data-order=""1036.50"">1036.50</span>","<span data-order=""1051.19"">1051.19</span>","<span data-order=""1058.14"">1058.14</span>","<span data-order=""1086.30"">1086.30</span>","<span data-order=""1054.26"">1054.26</span>","<span data-order=""-0.36"">-0.36</span>","<span data-order=""-9.40"">-9.40</span>",False,False,True,False,False,False,False,"<span data-order=""-4.17"">-4.17%</span>","<span data-order=""1.13"">1.13%</span>","<span data-order=""-7.42"">-7.42%</span>","<span data-order=""-3.31"">-3.31%</span>","<span data-order=""1.09"">1.09%</span>","<span data-order=""-15.01"">-15.01%</span>",360ONE.NS
"<span data-order=""2841.60"">2841.60</span>","<span data-order=""2847.30"">2847.30</span>","<span data-order=""2784.99"">2784.99</span>","<span data-order=""3039.42"">3039.42</span>","<span data-order=""2728.25"">2728.25</span>","<span data-order=""4.73"">4.73</span>","<span data-order=""-2.66"">-2.66</span>",True,False,True,True,False,True,False,"<span data-order=""2.76"">2.76%</span>","<span data-order=""-22.37"">-22.37%</span>","<span data-order=""27.60"">27.60%</span>","<span data-order=""3.61"">3.61%</span>","<span data-order=""-22.41"">-22.41%</span>","<span data-order=""20.02"">20.02%</span>",MAZDOCK.NS
"<span data-order=""2678.10"">2678.10</span>","<span data-order=""2857.64"">2857.64</span>","<span data-order=""2801.51"">2801.51</span>","<span data-order=""2721.77"">2721.77</span>","<span data-order=""2644.54"">2644.54</span>","<span data-order=""-8.33"">-8.33</span>","<span data-order=""-5.46"">-5.46</span>",False,False,True,True,True,True,False,"<span data-order=""-2.35"">-2.35%</span>","<span data-order=""7.29"">7.29%</span>","<span data-order=""-6.29"">-6.29%</span>","<span data-order=""-1.50"">-1.50%</span>","<span data-order=""7.25"">7.25%</span>","<span data-order=""-13.87"">-13.87%</span>",MPHASIS.NS
"<span data-order=""3144.50"">3144.50</span>","<span data-order=""2976.21"">2976.21</span>","<span data-order=""2785.71"">2785.71</span>","<span data-order=""2620.64"">2620.64</span>","<span data-order=""2399.39"">2399.39</span>","<span data-order=""12.97"">12.97</span>","<span data-order=""17.58"">17.58</span>",False,False,True,True,True,True,False,"<span data-order=""17.52"">17.52%</span>","<span data-order=""50.28"">50.28%</span>","<span data-order=""49.87"">49.87%</span>","<span data-order=""18.37"">18.37%</span>","<span data-order=""50.24"">50.24%</span>","<span data-order=""42.29"">42.29%</span>",MUTHOOTFIN.NS
"<span data-order=""86.37"">86.37</span>","<span data-order=""84.25"">84.25</span>","<span data-order=""82.93"">82.93</span>","<span data-order=""84.57"">84.57</span>","<span data-order=""81.76"">81.76</span>","<span data-order=""8.81"">8.81</span>","<span data-order=""0.65"">0.65</span>",True,False,True,True,False,True,False,"<span data-order=""5.55"">5.55%</span>","<span data-order=""0.17"">0.17%</span>","<span data-order=""15.94"">15.94%</span>","<span data-order=""6.40"">6.40%</span>","<span data-order=""0.13"">0.13%</span>","<span data-order=""8.35"">8.35%</span>",NHPC.NS
"<span data-order=""76.35"">76.35</span>","<span data-order=""75.69"">75.69</span>","<span data-order=""72.57"">72.57</span>","<span data-order=""70.86"">70.86</span>","<span data-order=""67.34"">67.34</span>","<span data-order=""4.88"">4.88</span>","<span data-order=""7.66"">7.66</span>",False,False,True,True,True,True,False,"<span data-order=""6.31"">6.31%</span>","<span data-order=""6.43"">6.43%</span>","<span data-order=""33.49"">33.49%</span>","<span data-order=""7.16"">7.16%</span>","<span data-order=""6.39"">6.39%</span>","<span data-order=""25.91"">25.91%</span>",NMDC.NS
"<span data-order=""97.12"">97.12</span>","<span data-order=""103.07"">103.07</span>","<span data-order=""103.73"">103.73</span>","<span data-order=""105.99"">105.99</span>","<span data-order=""107.78"">107.78</span>","<span data-order=""-6.82"">-6.82</span>","<span data-order=""-12.24"">-12.24</span>",True,False,False,False,False,False,False,"<span data-order=""-5.75"">-5.75%</span>","<span data-order=""-13.73"">-13.73%</span>","<span data-order=""-16.51"">-16.51%</span>","<span data-order=""-4.90"">-4.90%</span>","<span data-order=""-13.77"">-13.77%</span>","<span data-order=""-24.09"">-24.09%</span>",NTPCGREEN.NS
"<span data-order=""340.45"">340.45</span>","<span data-order=""334.83"">334.83</span>","<span data-order=""333.19"">333.19</span>","<span data-order=""333.71"">333.71</span>","<span data-order=""331.92"">331.92</span>","<span data-order=""2.26"">2.26</span>","<span data-order=""0.69"">0.69</span>",False,False,True,True,False,True,False,"<span data-order=""0.55"">0.55%</span>","<span data-order=""1.58"">1.58%</span>","<span data-order=""16.22"">16.22%</span>","<span data-order=""1.41"">1.41%</span>","<span data-order=""1.54"">1.54%</span>","<span data-order=""8.64"">8.64%</span>",NTPC.NS
"<span data-order=""214.50"">214.50</span>","<span data-order=""209.34"">209.34</span>","<span data-order=""196.35"">196.35</span>","<span data-order=""190.35"">190.35</span>","<span data-order=""186.25"">186.25</span>","<span data-order=""4.79"">4.79</span>","<span data-order=""10.35"">10.35</span>",False,False,True,True,True,True,False,"<span data-order=""13.35"">13.35%</span>","<span data-order=""18.43"">18.43%</span>","<span data-order=""11.11"">11.11%</span>","<span data-order=""14.21"">14.21%</span>","<span data-order=""18.38"">18.38%</span>","<span data-order=""3.52"">3.52%</span>",NATIONALUM.NS
"<span data-order=""1166.40"">1166.40</span>","<span data-order=""1191.73"">1191.73</span>","<span data-order=""1163.06"">1163.06</span>","<span data-order=""1181.35"">1181.35</span>","<span data-order=""1149.26"">1149.26</span>","<span data-order=""-2.38"">-2.38</span>","<span data-order=""-4.53"">-4.53</span>",False,False,True,True,False,True,False,"<span data-order=""-1.10"">-1.10%</span>","<span data-order=""-3.16"">-3.16%</span>","<span data-order=""6.24"">6.24%</span>","<span data-order=""-0.25"">-0.25%</span>","<span data-order=""-3.20"">-3.20%</span>","<span data-order=""-1.34"">-1.34%</span>",NESTLEIND.NS
